iter	Passed	Remaining
535	5815	5034
536	5826	5023
537	5836	5012
538	5848	5002
539	5859	4991
540	5869	4980
541	5881	4969
542	5891	4958
543	5900	4945
544	5910	4934
545	5922	4924
546	5934	4914
547	5944	4902
548	5952	4890
549	5962	4878
550	5971	4866
551	5981	4854
552	5992	4844
553	6003	4833
554	6013	4821
555	6024	4810
556	6034	4799
557	6043	4787
558	6053	4775
559	6062	4763
560	6074	4753
561	6083	4740
562	6091	4728
563	6101	4716
564	6110	4704
565	6121	4693
566	6131	4682
567	6141	4671
568	6156	4663
569	6166	4652
570	6178	4641
571	6189	4631
572	6198	4619
573	6208	4608
574	6220	4597
575	6230	4586
576	6240	4575
577	6250	4563
578	6261	4553
579	6274	4543
580	6285	4532
581	6295	4521
582	6306	4510
583	6316	4499
584	6326	4488
585	6338	4477
586	6347	4466
587	6360	4456
588	6379	4451
589	6391	4441
590	6402	4430
591	6412	4419
592	6423	4408
593	6433	4397
594	6443	4386
595	6452	4373
596	6463	4362
597	6472	4350
598	6482	4339
599	6493	4328
600	6503	4317
601	6514	4306
602	6526	4296
603	6536	4285
604	6545	4273
605	6557	4263
606	6571	4254
607	6589	4248
608	6599	4237
609	6610	4226
610	6621	4215
611	6634	4206
612	6646	4196
613	6661	4188
614	6679	4181
615	6691	4171
616	6708	4164
617	6719	4153
618	6728	4141
619	6738	4130
620	6749	4119
621	6760	4108
622	6770	4097
623	6781	4086
624	6792	4075
625	6803	4064
626	6814	4053
627	6824	4042
628	6835	4032
629	6848	4022
630	6861	4012
631	6873	4002
632	6883	3990
633	6893	3979
634	6902	3967
635	6912	3956
636	6922	3945
637	6933	3934
638	6944	3923
639	6953	3911
640	6963	3899
641	6973	3888
642	6984	3877
643	6995	3867
644	7007	3857
645	7018	3845
646	7028	3834
647	7037	3822
648	7047	3811
649	7058	3800
650	7068	3789
651	7078	3778
652	7087	3766
653	7097	3754
654	7106	3743
655	7116	3731
656	7125	3719
657	7135	3708
658	7147	3698
659	7157	3687
660	7167	3675
661	7179	3665
662	7188	3654
663	7199	3643
664	7208	3631
665	7217	3619
666	7228	3608
667	7236	3596
668	7246	3585
669	7257	3574
670	7267	3563
671	7278	3552
672	7290	3542
673	7300	3531
674	7311	3520
675	7321	3508
676	7332	3498
677	7342	3487
678	7353	3476
679	7362	3464
680	7373	3454
681	7383	3442
682	7394	3431
683	7404	3420
684	7413	3409
685	7423	3397
686	7436	3387
687	7446	3377
688	7456	3365
689	7467	3354
690	7478	3344
691	7488	3332
692	7499	3322
693	7513	3312
694	7531	3305
695	7542	3294
696	7553	3283
697	7563	3272
698	7575	3261
699	7585	3250
700	7597	3240
701	7606	3229
702	7616	3217
703	7627	3206
704	7637	3195
705	7648	3185
706	7658	3173
707	7668	3162
708	7678	3151
709	7688	3140
710	7698	3129
711	7710	3118
712	7720	3107
713	7730	3096
714	7743	3086
715	7754	3075
716	7764	3064
717	7774	3053
718	7784	3042
719	7794	3031
720	7804	3020
721	7814	3008
722	7824	2997
723	7835	2986
724	7846	2976
725	7858	2965
726	7870	2955
727	7882	2944
728	7894	2934
729	7905	2923
730	7915	2912
731	7925	2901
732	7935	2890
733	7945	2879
734	7955	2868
735	7966	2857
736	7976	2846
737	7987	2835
738	7998	2824
739	8007	2813
740	8018	2802
741	8027	2791
742	8038	2780
743	8049	2769
744	8058	2758
745	8068	2747
